config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
mlfq,aging,3,stream,110,544,80635,364401,100307,263549,0,80091,363857,183458,2,1,0,0,1,0,1,40630,59677,0
mlfq,aging,3,stream,111,263734,263995,466033,100285,102013,0,261,202299,101752,2,1,0,0,1,0,1,40654,59631,0
mlfq,aging,3,stream,112,365469,365545,567684,100431,101783,0,76,202215,101707,2,1,0,0,1,0,1,40791,59640,0
mlfq,aging,3,stream,113,467455,467537,669535,100264,101815,0,82,202080,101733,2,1,0,0,1,0,1,40455,59808,0
mlfq,aging,3,stream,114,568771,568852,771219,100419,102027,0,81,202448,101947,2,1,0,0,1,0,1,40803,59616,0
mlfq,aging,3,stream,115,670848,670965,873130,100268,102013,0,117,202282,101896,2,1,0,0,1,0,1,40571,59697,0
mlfq,aging,3,stream,116,772301,772379,1056435,100457,183677,0,78,284134,183599,2,1,0,0,1,0,1,40984,59472,0
mlfq,aging,3,stream,117,874422,874505,1158544,100280,183840,0,83,284122,183757,2,1,0,0,1,0,1,40719,59561,0
mlfq,aging,3,stream,118,1057510,1057587,1259553,100250,101792,0,77,202043,101715,2,1,0,0,1,0,1,41269,58981,0
mlfq,aging,3,stream,119,1159625,1159703,1362052,100449,101976,0,78,202427,101898,2,1,0,0,1,0,1,40830,59619,0
mlfq,aging,3,stream,120,1260691,1260772,1463219,100304,102224,0,81,202528,102142,2,1,0,0,1,0,1,41573,58730,0
mlfq,aging,3,stream,121,1363769,1363858,1566446,100299,102377,0,89,202677,102288,2,1,0,0,1,0,1,40617,59682,0
mlfq,aging,3,stream,122,1464296,1464378,1666549,100263,101989,0,82,202253,101908,2,1,0,0,1,0,1,42275,57987,0
mlfq,aging,3,stream,123,1567521,1567598,1851521,100472,183527,0,77,284000,183450,2,1,0,0,1,0,1,40929,59542,0
mlfq,aging,3,stream,124,1667629,1667707,1951479,100261,183588,0,78,283850,183511,2,1,0,0,1,0,1,42679,57581,0
mlfq,aging,3,stream,125,1852753,1852832,2055261,100304,102203,0,79,202508,102124,2,1,0,0,1,0,1,40994,59309,0
mlfq,aging,3,stream,126,1952545,1952621,2113130,100258,60326,0,76,160585,60250,2,1,0,0,1,0,1,43258,56999,0
mlfq,aging,3,long,108,0,651,2130630,300227,1830401,0,651,2130630,713606,5,4,0,0,4,2,2,39045,244546,16636
mlfq,aging,4,stream,129,279,40047,262817,100490,162047,0,39768,262538,122279,2,1,0,0,1,0,1,40647,59842,0
mlfq,aging,4,stream,130,561,80773,365717,100413,264742,0,80212,365156,184530,2,1,0,0,1,0,1,40632,59781,0
mlfq,aging,4,stream,131,265701,265882,468796,100307,102787,0,181,203095,102606,2,1,0,0,1,0,1,39978,60328,0
mlfq,aging,4,stream,132,368063,368143,571281,100266,102951,0,80,203218,102871,2,1,0,0,1,0,1,40230,60036,0
mlfq,aging,4,stream,133,469877,469954,672082,100284,101920,0,77,202205,101843,2,1,0,0,1,0,1,41186,59097,0
mlfq,aging,4,stream,134,572555,572635,774851,100303,101992,0,80,202296,101912,2,1,0,0,1,0,1,40313,59990,0
mlfq,aging,4,stream,135,673805,673929,958311,100411,184094,0,124,284506,183971,2,1,0,0,1,0,1,40862,59549,0
mlfq,aging,4,stream,136,776108,776190,1060026,100283,183634,0,82,283918,183552,2,1,0,0,1,0,1,40852,59430,0
mlfq,aging,4,stream,137,959455,959535,1162217,100448,102313,0,80,202762,102234,2,1,0,0,1,0,1,40993,59455,0
mlfq,aging,4,stream,138,1061216,1061298,1263928,100311,102399,0,82,202712,102317,2,1,0,0,1,0,1,41362,58948,0
mlfq,aging,4,stream,139,1163340,1163438,1365896,100280,102276,0,98,202556,102178,2,1,0,0,1,0,1,41471,58809,0
mlfq,aging,4,stream,140,1265034,1265112,1468198,100457,102705,0,78,203164,102628,2,1,0,0,1,0,1,41904,58553,0
mlfq,aging,4,stream,141,1367048,1367128,1652368,100302,185017,0,80,285320,184937,2,1,0,0,1,0,1,42440,57862,0
mlfq,aging,4,stream,142,1469579,1469664,1754287,100360,184347,0,85,284708,184261,2,1,0,0,1,0,1,43062,57297,0
mlfq,aging,4,stream,143,1653483,1653564,1856082,100258,102340,0,81,202599,102259,2,1,0,0,1,0,1,43275,56982,0
mlfq,aging,4,stream,144,1755835,1755916,1958363,100280,102248,0,81,202528,102167,2,1,0,0,1,0,1,43118,57161,0
mlfq,aging,4,stream,145,1857168,1857245,2059628,100257,102201,0,77,202460,102125,2,1,0,0,1,0,1,43873,56384,0
mlfq,aging,4,stream,146,1959494,1959576,2117181,100273,57413,0,82,157687,57331,2,1,0,0,1,0,1,43598,56674,0
mlfq,aging,4,long,128,0,677,2134447,300269,1834177,0,677,2134447,614210,5,4,0,0,4,3,1,39291,260918,59
mlfq,aging,5,stream,149,290,40121,264207,100382,163535,0,39831,263917,123704,2,1,0,0,1,0,1,40662,59719,0
mlfq,aging,5,stream,150,690,80862,365790,100296,264803,0,80172,365100,184630,2,1,0,0,1,0,1,40931,59365,0
mlfq,aging,5,stream,151,265680,265781,467889,100274,101933,0,101,202209,101833,2,1,0,0,1,0,1,40578,59696,0
mlfq,aging,5,stream,152,366860,366960,569305,100295,102148,0,100,202445,102048,2,1,0,0,1,0,1,41161,59134,0
mlfq,aging,5,stream,153,468972,469051,671224,100274,101977,0,79,202252,101898,2,1,0,0,1,0,1,41049,59225,0
mlfq,aging,5,stream,154,570562,570643,773105,100406,102135,0,81,202543,102054,2,1,0,0,1,0,1,41311,59095,0
mlfq,aging,5,stream,155,672305,672381,875465,100333,102827,0,76,203160,102750,2,1,0,0,1,0,1,41556,58777,0
mlfq,aging,5,stream,156,775662,775818,1060227,100381,184183,0,156,284565,184027,2,1,0,0,1,0,1,40743,59638,0
mlfq,aging,5,stream,157,877647,877814,1162344,100672,184024,0,167,284697,183857,2,1,0,0,1,0,1,41099,59572,0
mlfq,aging,5,stream,158,1061563,1061650,1264053,100521,101969,0,87,202490,101882,2,1,0,0,1,0,1,41008,59513,0
mlfq,aging,5,stream,159,1163425,1163502,1365748,100261,102061,0,77,202323,101984,2,1,0,0,1,0,1,40985,59276,0
mlfq,aging,5,stream,160,1265246,1265330,1467558,100273,102037,0,84,202312,101954,2,1,0,0,1,0,1,41071,59202,0
mlfq,aging,5,stream,161,1366842,1366942,1569333,100329,102161,0,100,202491,102061,2,1,0,0,1,0,1,41334,58995,0
mlfq,aging,5,stream,162,1468785,1468884,1671275,100276,102212,0,99,202490,102114,2,1,0,0,1,0,1,41370,58906,0
mlfq,aging,5,stream,163,1570437,1570516,1854050,100281,183331,0,79,283613,183253,2,1,0,0,1,0,1,41782,58498,0
mlfq,aging,5,stream,164,1672358,1672436,1956198,100269,183571,0,78,283840,183493,2,1,0,0,1,0,1,41581,58687,0
mlfq,aging,5,stream,165,1855129,1855207,2057434,100251,102053,0,78,202305,101975,2,1,0,0,1,0,1,42235,58016,0
mlfq,aging,5,stream,166,1957462,1957542,2116743,100254,59027,0,80,159281,58946,2,1,0,0,1,0,1,41833,58421,0
mlfq,aging,5,long,148,0,803,2133323,300263,1833059,0,803,2133323,714536,5,4,0,0,4,2,2,39160,245494,15608
q2-4-8,single,1,cpu,5,0,142,501327,500675,651,0,142,501327,142,8,7,0,0,2,0,2,20211,40842,439621
q2-4-8,single,2,cpu,7,0,269,501101,500248,851,0,269,501101,269,8,7,0,0,2,0,2,18891,40814,440542
q2-4-8,single,3,cpu,9,0,255,501051,500310,741,0,255,501051,255,8,7,0,0,2,0,2,18212,40845,441252
q2-4-8,single,4,cpu,11,0,171,501098,500319,779,0,171,501098,171,8,7,0,0,2,0,2,19104,40699,440515
q2-4-8,single,5,cpu,13,0,137,500851,500225,625,0,137,500851,137,8,7,0,0,2,0,2,19156,41122,439946
q2-4-8,multi,1,A,16,0,700,1177631,400268,777362,0,700,1177631,163846,7,6,0,0,2,0,2,18521,40652,341094
q2-4-8,multi,1,B,17,311,19303,1191226,400272,790642,0,18992,1190915,163541,7,6,0,0,2,0,2,20298,40884,339089
q2-4-8,multi,1,C,18,586,39681,1204859,400308,803963,0,39095,1204273,163695,7,6,0,0,2,0,2,20362,40787,339158
q2-4-8,multi,2,A,20,0,668,1176013,400325,775687,0,668,1176013,163301,7,6,0,0,2,0,2,18598,40717,341009
q2-4-8,multi,2,B,21,312,19344,1190073,400404,789356,0,19032,1189761,163213,7,6,0,0,2,0,2,20398,40795,339211
q2-4-8,multi,2,C,22,568,39837,1204924,400317,804037,0,39269,1204356,163239,7,6,0,0,2,0,2,20285,40716,339315
q2-4-8,multi,3,A,24,0,1278,1175875,400325,775549,0,1278,1175875,163057,7,6,0,0,2,0,2,17358,40908,342059
q2-4-8,multi,3,B,25,599,18793,1190948,400339,790009,0,18194,1190349,163705,7,6,0,0,2,0,2,20217,40727,339394
q2-4-8,multi,3,C,26,1073,39088,1205500,400310,804116,0,38015,1204427,163355,7,6,0,0,2,0,2,20369,40782,339157
q2-4-8,multi,4,A,28,0,667,1177375,400242,777131,0,667,1177375,164737,7,6,0,0,2,0,2,18501,40652,341089
q2-4-8,multi,4,B,29,308,19245,1190039,400234,789496,0,18937,1189731,163253,7,6,0,0,2,0,2,20299,40737,339197
q2-4-8,multi,4,C,30,569,39621,1204680,400329,803782,0,39052,1204111,164599,7,6,0,0,2,0,2,20294,40655,339379
q2-4-8,multi,5,A,32,0,1260,1180576,400349,780226,0,1260,1180576,164995,7,6,0,0,2,0,2,17844,40944,341561
q2-4-8,multi,5,B,33,320,19183,1192138,400253,791563,0,18863,1191818,164049,7,6,0,0,2,0,2,20513,40960,338779
q2-4-8,multi,5,C,34,894,39834,1205521,400377,804249,0,38940,1204627,164468,7,6,0,0,2,0,2,20399,40705,339272
q2-4-8,mixed,1,short1,40,306159,307390,340133,30261,3712,0,1231,33974,1244,3,1,1,0,1,0,1,18797,11463,0
q2-4-8,mixed,1,short2,41,715116,717282,749895,30259,4518,0,2166,34779,2165,3,1,1,0,1,0,1,17828,12431,0
q2-4-8,mixed,1,io,39,612,39899,1082083,108246,81014,892210,39287,1081471,39287,101,0,0,100,0,0,0,108246,0,0
q2-4-8,mixed,1,long1,37,0,740,2140262,1000371,1139889,0,740,2140262,126307,57,13,43,0,2,0,2,18555,36038,945777
q2-4-8,mixed,1,long2,38,314,19375,2189152,1000294,1188542,0,19061,2188838,123909,56,13,42,0,2,0,2,20439,36171,943683
q2-4-8,mixed,2,short1,46,306770,307993,340671,30245,3654,0,1223,33901,1235,3,1,1,0,1,0,1,18846,11399,0
q2-4-8,mixed,2,short2,47,716669,718767,751397,30289,4438,0,2098,34728,2097,3,1,1,0,1,0,1,17906,12382,0
q2-4-8,mixed,2,io,45,614,39984,1085159,108223,81274,895047,39370,1084545,39369,101,0,0,100,0,0,0,108223,0,0
q2-4-8,mixed,2,long1,43,0,745,2142986,1000268,1142718,0,745,2142986,126368,57,13,43,0,2,0,2,18628,35979,945659
q2-4-8,mixed,2,long2,44,346,19460,2187863,1000334,1187181,0,19114,2187517,123955,56,13,42,0,2,0,2,20433,36078,943823
q2-4-8,mixed,3,short1,52,305818,307051,339745,30247,3680,0,1233,33927,1244,3,1,1,0,1,0,1,18836,11410,0
q2-4-8,mixed,3,short2,53,714749,716880,749540,30268,4522,0,2131,34791,2131,3,1,1,0,1,0,1,17914,12353,0
q2-4-8,mixed,3,io,51,594,39910,1082938,109171,81462,891710,39316,1082344,39316,101,0,0,100,0,0,0,109171,0,0
q2-4-8,mixed,3,long1,49,0,726,2141638,1000252,1141385,0,726,2141638,126396,57,13,43,0,2,0,2,18634,35772,945846
q2-4-8,mixed,3,long2,50,302,19440,2189135,1000314,1188518,0,19138,2188833,124010,56,13,42,0,2,0,2,20389,35784,944139
q2-4-8,mixed,4,short1,58,306174,307466,340311,30363,3773,0,1292,34137,1291,3,1,1,0,1,0,1,18537,11826,0
q2-4-8,mixed,4,short2,59,718166,720271,752899,30253,4478,0,2105,34733,2105,3,1,1,0,1,0,1,17950,12303,0
q2-4-8,mixed,4,io,57,728,39709,1085658,108749,82173,894007,38981,1084930,38981,101,0,0,100,0,0,0,108749,0,0
q2-4-8,mixed,4,long1,55,0,863,2133643,1000242,1133400,0,863,2133643,126842,57,13,43,0,2,0,2,18430,35796,946014
q2-4-8,mixed,4,long2,56,393,19371,2189637,1000406,1188837,0,18978,2189244,123832,56,13,42,0,2,0,2,20260,35903,944243
q2-4-8,mixed,5,short1,64,305724,306967,339715,30267,3724,0,1243,33991,1243,3,1,1,0,1,0,1,18752,11514,0
q2-4-8,mixed,5,short2,65,715841,718013,750664,30281,4542,0,2172,34823,2171,3,1,1,0,1,0,1,17834,12447,0
q2-4-8,mixed,5,io,63,668,39938,1083654,109962,82513,890511,39270,1082986,39269,101,0,0,100,0,0,0,109962,0,0
q2-4-8,mixed,5,long1,61,0,807,2143230,1000274,1142955,0,807,2143230,126425,57,13,43,0,2,0,2,18609,35716,945948
q2-4-8,mixed,5,long2,62,318,19514,2190546,1000313,1189914,0,19196,2190228,123865,56,13,42,0,2,0,2,20346,35743,944223
q8-16-32,single,1,cpu,5,0,234,500881,500475,405,0,234,500881,234,3,2,0,0,2,0,2,80019,165063,255392
q8-16-32,single,2,cpu,7,0,131,500545,500278,266,0,131,500545,130,3,2,0,0,2,0,2,80521,163431,256325
q8-16-32,single,3,cpu,9,0,136,500614,500279,335,0,136,500614,136,3,2,0,0,2,0,2,80451,164143,255685
q8-16-32,single,4,cpu,11,0,138,500686,500406,278,0,138,500686,138,3,2,0,0,2,0,2,80419,164653,255333
q8-16-32,single,5,cpu,13,0,131,500501,500255,245,0,131,500501,130,3,2,0,0,2,0,2,80550,163526,256179
q8-16-32,multi,1,A,16,0,732,890947,400247,490699,0,732,890947,326766,3,2,0,0,2,0,2,79774,163617,156855
q8-16-32,multi,1,B,17,304,80588,1047289,400287,646697,0,80284,1046985,321103,3,2,0,0,2,0,2,81498,163409,155379
q8-16-32,multi,1,C,18,612,162167,1203939,400311,803015,0,161555,1203327,327239,3,2,0,0,2,0,2,81470,163144,155695
q8-16-32,multi,2,A,20,0,812,890744,400432,490311,0,812,890744,326234,3,2,0,0,2,0,2,79789,163217,157425
q8-16-32,multi,2,B,21,355,80677,1047765,400305,647104,0,80322,1047410,321872,3,2,0,0,2,0,2,81580,162947,155778
q8-16-32,multi,2,C,22,699,162337,1204654,400490,803465,0,161638,1203955,326392,3,2,0,0,2,0,2,81451,163032,156005
q8-16-32,multi,3,A,24,0,729,891476,400230,491245,0,729,891476,326658,3,2,0,0,2,0,2,79695,163113,157421
q8-16-32,multi,3,B,25,346,80504,1047899,400288,647265,0,80158,1047553,321885,3,2,0,0,2,0,2,81737,163113,155437
q8-16-32,multi,3,C,26,627,162325,1203931,400305,802998,0,161698,1203304,326490,3,2,0,0,2,0,2,81888,163277,155139
q8-16-32,multi,4,A,28,0,702,889872,400241,489631,0,702,889872,325968,3,2,0,0,2,0,2,79634,162760,157846
q8-16-32,multi,4,B,29,294,80433,1046782,400455,646033,0,80139,1046488,321740,3,2,0,0,2,0,2,81540,162928,155986
q8-16-32,multi,4,C,30,594,162051,1205407,400355,804458,0,161457,1204813,325923,3,2,0,0,2,0,2,81179,162803,156372
q8-16-32,multi,5,A,32,0,769,889996,400258,489736,0,769,889996,325777,3,2,0,0,2,0,2,79559,162825,157874
q8-16-32,multi,5,B,33,387,80406,1047235,400329,646518,0,80019,1046848,321845,3,2,0,0,2,0,2,81323,162766,156240
q8-16-32,multi,5,C,34,663,161821,1204012,400293,803055,0,161158,1203349,325820,3,2,0,0,2,0,2,81573,162817,155902
q8-16-32,mixed,1,short1,40,306217,307697,338040,30343,1479,0,1480,31823,1479,1,0,0,0,0,0,0,30343,0,0
q8-16-32,mixed,1,short2,41,714737,716856,747090,30234,2118,0,2119,32353,2118,1,0,0,0,0,0,0,30234,0,0
q8-16-32,mixed,1,io,39,964,161757,1226826,110467,229172,886221,160793,1225862,160793,101,0,0,100,0,0,0,110467,0,0
q8-16-32,mixed,1,long1,37,0,1271,2065506,1000316,1065188,0,1271,2065506,348946,57,4,52,0,2,0,2,78660,159230,762425
q8-16-32,mixed,1,long2,38,560,80083,2190831,1000306,1189963,0,79523,2190271,399552,48,4,43,0,2,0,2,81591,162003,756710
q8-16-32,mixed,2,short1,46,305227,306459,336733,30274,1231,0,1232,31506,1231,1,0,0,0,0,0,0,30274,0,0
q8-16-32,mixed,2,short2,47,713651,715799,746121,30321,2147,0,2148,32470,2147,1,0,0,0,0,0,0,30321,0,0
q8-16-32,mixed,2,io,45,612,162116,1223007,109402,229391,883601,161504,1222395,161503,101,0,0,100,0,0,0,109402,0,0
q8-16-32,mixed,2,long1,43,0,741,2071909,1000263,1071645,0,741,2071909,357059,57,4,52,0,2,0,2,79580,160223,760459
q8-16-32,mixed,2,long2,44,351,80401,2189572,1000302,1188918,0,80050,2189221,398850,48,4,43,0,2,0,2,81617,160875,757809
q8-16-32,mixed,3,short1,52,305330,306570,336842,30272,1240,0,1240,31512,1240,1,0,0,0,0,0,0,30272,0,0
q8-16-32,mixed,3,short2,53,713492,715615,745871,30256,2122,0,2123,32379,2122,1,0,0,0,0,0,0,30256,0,0
q8-16-32,mixed,3,io,51,640,161974,1224260,109978,228690,884950,161334,1223620,161334,101,0,0,100,0,0,0,109978,0,0
q8-16-32,mixed,3,long1,49,0,794,2062649,1000257,1062390,0,794,2062649,346972,57,4,52,0,2,0,2,79617,160051,760588
q8-16-32,mixed,3,long2,50,311,80492,2189181,1000304,1188565,0,80181,2188870,399872,48,4,43,0,2,0,2,81403,162005,756896
q8-16-32,mixed,4,short1,58,305337,306582,336822,30240,1244,0,1245,31485,1244,1,0,0,0,0,0,0,30240,0,0
q8-16-32,mixed,4,short2,59,712688,715054,745312,30258,2366,0,2366,32624,2366,1,0,0,0,0,0,0,30258,0,0
q8-16-32,mixed,4,io,57,621,162098,1221712,108502,227493,885094,161477,1221091,161477,101,0,0,100,0,0,0,108502,0,0
