config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
q8-16-32,multi,2,B,17,375,79304,1041363,400038,640949,0,78929,1040988,321746,3,2,0,0,2,0,2,80074,160161,159802
q8-16-32,multi,2,C,18,749,159392,1201376,400036,800589,0,158643,1200627,321587,3,2,0,0,2,0,2,80073,160160,159802
q8-16-32,multi,3,A,20,0,765,881349,400037,481310,0,765,881349,320359,3,2,0,0,2,0,2,78526,160161,161350
q8-16-32,multi,3,B,21,375,79305,1041363,400038,640949,0,78930,1040988,321746,3,2,0,0,2,0,2,80074,160161,159803
q8-16-32,multi,3,C,22,750,159392,1201374,400033,800590,0,158642,1200624,321587,3,2,0,0,2,0,2,80073,160160,159799
q8-16-32,mixed,1,short1,28,299937,300981,331015,30033,1044,0,1044,31078,1044,1,0,0,0,0,0,0,30033,0,0
q8-16-32,mixed,1,short2,29,700397,701625,731658,30032,1228,0,1228,31261,1228,1,0,0,0,0,0,0,30032,0,0
q8-16-32,mixed,1,io,27,749,159391,1200615,101465,206828,891572,158642,1199866,158642,101,0,0,100,0,0,0,101465,0,0
q8-16-32,mixed,1,long1,25,0,766,2051752,1000041,1051710,0,766,2051752,350400,57,4,52,0,2,0,2,78525,159820,761696
q8-16-32,mixed,1,long2,26,374,79305,2167223,1000038,1166810,0,78931,2166849,391488,48,4,43,0,2,0,2,80073,161250,758714
q8-16-32,mixed,2,short1,34,299938,300982,331015,30033,1044,0,1044,31077,1044,1,0,0,0,0,0,0,30033,0,0
q8-16-32,mixed,2,short2,35,700398,701626,731659,30032,1228,0,1228,31261,1228,1,0,0,0,0,0,0,30032,0,0
q8-16-32,mixed,2,io,33,750,159392,1200616,101465,206828,891572,158642,1199866,158642,101,0,0,100,0,0,0,101465,0,0
q8-16-32,mixed,2,long1,31,0,767,2051753,1000041,1051710,0,767,2051753,350400,57,4,52,0,2,0,2,78525,159820,761695
q8-16-32,mixed,2,long2,32,375,79305,2167224,1000038,1166810,0,78930,2166849,391488,48,4,43,0,2,0,2,80073,161251,758714
q8-16-32,mixed,3,short1,40,299938,300982,331016,30033,1044,0,1044,31078,1044,1,0,0,0,0,0,0,30033,0,0
q8-16-32,mixed,3,short2,41,700397,701625,731658,30032,1228,0,1228,31261,1228,1,0,0,0,0,0,0,30032,0,0
q8-16-32,mixed,3,io,39,750,159392,1200615,101465,206828,891571,158642,1199865,158641,101,0,0,100,0,0,0,101465,0,0
q8-16-32,mixed,3,long1,37,0,767,2051752,1000040,1051710,0,767,2051752,350401,57,4,52,0,2,0,2,78525,159820,761694
q8-16-32,mixed,3,long2,38,375,79305,2167223,1000038,1166809,0,78930,2166848,391487,48,4,43,0,2,0,2,80073,161250,758714
rr,single,1,cpu,5,0,3,500651,500041,609,0,3,500651,12,51,0,0,0,0,0,0,500041,0,0
rr,single,2,cpu,7,0,4,500651,500041,609,0,4,500651,12,51,0,0,0,0,0,0,500041,0,0
rr,single,3,cpu,9,0,4,500651,500041,609,0,4,500651,12,51,0,0,0,0,0,0,500041,0,0
rr,multi,1,B,13,374,9239,1190140,400031,789734,0,8865,1189766,20022,40,0,0,0,0,0,0,400031,0,0
rr,multi,1,A,12,0,753,1192305,400038,792266,0,753,1192305,20033,41,0,0,0,0,0,0,400038,0,0
rr,multi,1,C,14,749,19250,1201767,400035,800982,0,18501,1201018,20022,42,0,0,0,0,0,0,400035,0,0
rr,multi,2,B,17,374,9239,1190140,400031,789734,0,8865,1189766,20022,40,0,0,0,0,0,0,400031,0,0
rr,multi,2,A,16,0,753,1192305,400038,792267,0,753,1192305,20033,41,0,0,0,0,0,0,400038,0,0
rr,multi,2,C,18,749,19250,1201767,400035,800982,0,18501,1201018,20023,42,0,0,0,0,0,0,400035,0,0
rr,multi,3,B,21,374,9239,1190140,400031,789734,0,8865,1189766,20022,40,0,0,0,0,0,0,400031,0,0
rr,multi,3,A,20,0,753,1192305,400038,792266,0,753,1192305,20033,41,0,0,0,0,0,0,400038,0,0
rr,multi,3,C,22,749,19250,1201767,400035,800982,0,18501,1201018,20022,42,0,0,0,0,0,0,400035,0,0
rr,mixed,1,short1,28,300961,320599,413741,30029,82750,0,19638,112780,21038,4,0,0,0,0,0,0,30029,0,0
rr,mixed,1,short2,29,711418,731055,824197,30029,82750,0,19637,112779,21037,4,0,0,0,0,0,0,30029,0,0
rr,mixed,1,long2,26,374,9239,2060509,1000033,1060101,0,8865,2060135,20023,100,0,0,0,0,0,0,1000033,0,0
rr,mixed,1,io,27,749,19250,2081549,101458,1079744,899597,18501,2080800,20033,102,0,0,100,0,0,0,101458,0,0
rr,mixed,1,long1,25,0,754,2165329,1000033,1165296,0,754,2165329,20035,111,0,0,0,0,0,0,1000033,0,0
rr,mixed,2,short1,34,300962,320599,413755,30043,82750,0,19637,112793,21038,4,0,0,0,0,0,0,30043,0,0
rr,mixed,2,short2,35,711418,731055,824198,30029,82750,0,19637,112780,21037,4,0,0,0,0,0,0,30029,0,0
rr,mixed,2,long2,32,374,9239,2060510,1000032,1060102,0,8865,2060136,20023,100,0,0,0,0,0,0,1000032,0,0
rr,mixed,2,io,33,749,19250,2081549,101458,1079744,899597,18501,2080800,20033,102,0,0,100,0,0,0,101458,0,0
rr,mixed,2,long1,31,0,754,2165344,1000032,1165311,0,754,2165344,20035,111,0,0,0,0,0,0,1000032,0,0
rr,mixed,3,short1,40,300962,320599,413756,30043,82750,0,19637,112794,21038,4,0,0,0,0,0,0,30043,0,0
rr,mixed,3,short2,41,711418,731055,824212,30043,82750,0,19637,112794,21038,4,0,0,0,0,0,0,30043,0,0
rr,mixed,3,long2,38,375,9240,2060509,1000032,1060101,0,8865,2060134,20023,100,0,0,0,0,0,0,1000032,0,0
rr,mixed,3,io,39,749,19251,2081549,101458,1079744,899596,18502,2080800,20033,102,0,0,100,0,0,0,101458,0,0
rr,mixed,3,long1,37,0,755,2165360,1000033,1165326,0,755,2165360,20035,111,0,0,0,0,0,0,1000033,0,0
rr,aging,1,stream,45,373,9240,289472,100031,189067,0,8867,289099,20022,10,0,0,0,0,0,0,100031,0,0
rr,aging,1,stream,46,747,19251,319435,100030,218657,0,18504,318688,20022,11,0,0,0,0,0,0,100030,0,0
rr,aging,1,stream,47,290112,299554,569841,100031,179697,0,9442,279729,20088,10,0,0,0,0,0,0,100031,0,0
rr,aging,1,stream,48,340050,359685,659869,100031,219787,0,19635,319819,20022,11,0,0,0,0,0,0,100031,0,0
rr,aging,1,stream,49,570482,579923,850212,100031,179698,0,9441,279730,20088,10,0,0,0,0,0,0,100031,0,0
rr,aging,1,long,44,0,751,854290,300037,554252,0,751,854290,20088,31,0,0,0,0,0,0,300037,0,0
